Step,Avg Distance to Center,Collisions,With Predator
0,87.16155903646558,0,0
1,86.97681151653744,3,0
2,86.69729346908503,3,0
3,86.32737559031958,2,0
4,85.86851356398155,3,0
5,85.32276642082603,2,0
6,84.69116231478988,2,0
7,83.97784276086253,3,0
8,83.18908571493554,2,0
9,82.33046099377448,2,0
10,81.40681893874196,2,0
11,80.42568532422106,2,0
12,79.40069999621593,4,0
13,78.34891392544928,4,0
14,77.2780859204885,4,0
15,76.19575895766795,3,0
16,75.11265682724235,3,0
17,74.03468653996806,3,0
18,72.96720751294482,4,0
19,71.91547444254788,5,0
20,70.88449372701471,5,0
21,69.87734043946979,5,0
22,68.89503084031318,5,0
23,67.93892191489552,6,0
24,67.01009458112064,7,0
25,66.11081525687491,6,0
26,65.24218448043855,6,0
27,64.40338922791472,8,0
28,63.59420645086438,8,0
29,62.81544097923355,8,0
30,62.06737704345707,10,0
31,61.34990104247653,11,0
32,60.66192155496388,9,0
33,60.00124074311105,10,0
34,59.366268798993445,9,0
35,58.75604854251817,9,0
36,58.170435369557545,9,0
37,57.608763686564885,9,0
38,57.0700597807073,8,0
39,56.5532145869844,9,0
40,56.0581025593547,9,0
41,55.58362329579189,9,0
42,55.12971478746275,11,0
43,54.69650171875363,10,0
44,54.283776079673814,11,0
45,53.89107266002533,18,0
46,53.517648253385254,22,0
47,53.16281693826837,27,0
48,52.826729350744145,26,0
49,52.508910217803326,26,0
50,52.20895244240197,29,0
51,51.92628659165789,28,0
52,51.66073698308639,28,0
53,51.411921872283465,30,0
54,51.17943849472747,33,0
55,50.96343470597224,35,0
56,50.76289278113897,34,0
57,50.57726227771328,31,0
58,50.40506767826092,27,0
59,50.24489331748556,28,0
60,50.09536185781126,26,0
61,49.955566349818206,26,0
62,49.824988213470036,24,0
63,49.70301866505985,27,0
64,49.588927786228304,27,0
65,49.482231970602726,29,0
66,49.38263083859298,28,0
67,49.289623761046755,30,0
68,49.20280264890519,29,0
69,49.122873965815806,32,0
70,49.050718413710264,35,0
71,48.98410660676354,38,0
72,48.9207692075661,37,0
73,48.859864707604494,38,0
74,48.80131964863316,40,0
75,48.74516714603687,42,0
76,48.691444884778335,41,0
77,48.63969412621798,40,0
78,48.589859592163286,39,0
79,48.5416381208447,41,0
80,48.495294372377636,46,0
81,48.450974583916135,47,0
82,48.40882471653288,44,0
83,48.368783616039764,42,0
84,48.33129093706111,43,0
85,48.29597106542983,42,0
86,48.262522269501204,44,0
87,48.23066503206601,44,0
88,48.200244344518154,46,0
89,48.171187252444454,47,0
90,48.143315208555265,46,0
91,48.116390868526835,48,0
92,48.09050819492843,48,0
93,48.0655846377015,47,0
94,48.04153690457211,48,0
95,48.01875164912734,49,0
96,47.99734066492774,49,0
97,47.97698458701488,50,0
98,47.957901042302176,52,0
99,47.94107265183058,52,0
100,47.9271107807381,52,0
101,47.915764613893195,53,0
102,47.906566153049354,53,0
103,47.89804347626309,53,0
104,47.890168427732824,53,0
105,47.8830243287744,53,0
106,47.876353642746565,54,0
107,47.86994677108611,54,0
108,47.86367560074498,55,0
109,47.857547530442595,56,0
110,47.85160147967876,57,0
111,47.84591188603904,59,0
112,47.84050368595326,59,0
113,47.83538405381664,58,0
114,47.830548872452276,58,0
115,47.82597816923289,59,0
116,47.821630554660246,60,0
117,47.81745845369165,60,0
118,47.81343245753116,60,0
119,47.809538819283674,60,0
120,47.80578698586631,60,0
121,47.802198843926334,60,0
122,47.798799523981614,60,0
123,47.79560317164232,61,0
124,47.7926137999489,60,0
125,47.78982938170272,61,0
126,47.787232066594555,61,0
127,47.78478361357197,62,0
128,47.78244898096326,62,0
129,47.78019039431706,64,0
130,47.777975849586056,64,0
131,47.77578479457819,65,0
132,47.77361231465418,65,0
133,47.771455285931296,65,0
134,47.76934982320572,65,0
135,47.767290536914494,65,0
136,47.765278476693034,64,0
137,47.763310761661906,64,0
138,47.76138430623097,65,0
139,47.75949718658563,65,0
140,47.757631876858085,65,0
141,47.75586445839913,65,0
142,47.75417457234118,65,0
143,47.75255275374796,65,0
144,47.75098150248041,65,0
145,47.74945397933746,65,0
146,47.74797307625659,65,0
147,47.746547889647374,65,0
148,47.745179575356275,64,0
149,47.74387978854483,63,0
150,47.742655076255545,63,0
151,47.741485510825115,64,0
152,47.7403658628036,65,0
153,47.73929267259234,65,0
154,47.738254570493815,66,0
155,47.73725011371191,66,0
156,47.736278305110154,66,0
157,47.735333358454106,65,0
158,47.734419679718165,65,0
159,59.5490684916081,64,0
160,59.548144499747686,64,0
161,59.547311560880054,63,0
162,59.54656677921672,63,0
163,59.5459075005353,63,0
164,59.54534166136263,63,0
165,59.54485387540235,63,0
166,59.54444236747381,63,0
167,59.54410923343316,63,0
168,59.54384231594859,63,0
169,59.54362897269579,63,0
170,59.54346114029981,63,0
171,59.543308767383934,62,0
172,59.54315981569171,62,0
173,59.54303279317839,62,0
174,59.54292694765191,62,0
175,59.54284758828462,62,0
176,59.54280746092668,62,0
177,59.54278998218164,62,0
178,73.09123038814718,63,0
179,73.09147311739916,62,0
180,73.09170445004399,62,0
181,87.38401536464544,63,0
182,87.38490516966354,61,0
183,87.3859216980879,60,0
184,87.38699725183845,61,0
185,87.3881318306197,61,0
186,102.65381953768514,61,0
187,102.65507405443344,61,0
188,102.656707421033,61,0
189,117.65912677950699,60,0
