Step,Avg Distance to Center,Collisions,With Predator
0,155.01539295271567,0,1
1,154.80263546906698,0,1
2,154.5704320814727,0,1
3,154.31876038078877,0,1
4,154.04449113495878,0,1
5,153.74948631192984,0,1
6,153.43305292517317,0,1
7,153.09471233467656,0,1
8,152.7349157926405,0,1
9,152.35323333759342,0,1
10,151.94989521949614,0,1
11,151.52567929579425,0,1
12,151.08034140251115,0,1
13,150.61703184836793,0,1
14,150.13639254694615,0,1
15,149.64058746029013,0,1
16,149.13280103011567,0,1
17,148.61895672275827,0,1
18,148.10261227724007,0,1
19,147.5854689281692,0,1
20,147.07141235137084,0,1
21,146.5631109770633,0,1
22,146.0620924065068,0,1
23,145.56938660082136,0,1
24,145.0886272406422,0,1
25,144.62208771274982,0,1
26,144.17159442823962,0,1
27,143.73741868484552,0,1
28,143.31732556015962,0,1
29,142.91324839198316,0,1
30,142.52277152040608,0,1
31,142.1452786316446,0,1
32,141.7776912369313,0,1
33,141.420796576166,0,1
34,141.07346453153872,0,1
35,140.73937357993935,0,1
36,140.4196371895454,0,1
37,140.11292506487558,0,1
38,139.81514728129028,0,1
39,139.52671622007816,0,1
40,139.2498159248153,0,1
41,138.9817256549353,0,1
42,138.7240136817599,0,1
43,138.47605992098997,0,1
44,138.23963593093575,0,1
45,138.01613032577538,0,1
46,137.8117487659436,0,1
47,137.62849078828924,0,1
48,137.46912584384523,0,1
49,137.33232915837445,1,1
50,137.21889299913377,1,1
51,137.12929594335915,1,1
52,137.06286881874348,1,1
53,137.02127997145448,1,1
54,137.00459171269313,0,1
55,137.0124418123492,0,1
56,137.04250139550405,0,1
57,137.0927463423232,0,1
58,137.16097627475804,0,1
59,137.246885835639,2,1
60,137.3493771293878,2,1
61,137.46889709285645,3,1
62,137.60338551239224,3,1
63,137.75277197280246,3,1
64,137.91463204805905,3,1
65,138.08830072632907,3,1
66,138.27221382619535,3,1
67,138.46496575709358,3,1
68,138.66113454169758,3,1
69,138.86138085754055,3,1
70,139.06554401326824,2,1
71,139.27249527771318,1,1
72,139.48250567880103,1,1
73,139.69610115444658,1,1
74,139.914199168304,1,1
75,140.13699206319828,1,1
76,140.36619833252936,1,1
77,140.60209402154285,1,1
78,140.84229739280136,1,1
79,141.08735553789,0,1
80,141.33713228289724,0,1
81,141.5905071398937,0,1
